seq,stn_id,stn_name,distance,area
1,0103,苹果园,0,1
2,0104,古城路,40,1
3,0105,八角游乐园,80,1
4,0106,八宝山,120,1
5,0107,玉泉路,160,1
6,0108,五棵松,200,1
7,0109,万寿路,240,1
8,0110,公主坟（1号线）,280,1
9,0111,军事博物馆（1号线）,320,1
10,0112,木樨地,360,1
11,0113,南礼士路,400,1
12,0114,复兴门（1号线）,440,1
13,0115,西单（1号线）,480,1
14,0116,天安门西,520,1
15,0117,天安门东,560,1
16,0118,王府井,600,1
17,0119,东单（1号线）,640,1
18,0120,建国门（1号线）,680,1
19,0121,永安里,720,1
20,0122,国贸（1号线）,760,1
21,0123,大望路,800,1
22,0124,四惠（1号线）,840,1
23,0125,四惠东（1号线）,880,1